1346	248	247
1347	248	410
1348	248	411
1349	248	414
1350	248	415
1351	248	416
1352	248	417
1353	249	175
1354	249	176
1355	249	182
1356	249	253
1357	249	255
1358	249	257
1359	249	260
1360	249	263
1361	249	273
1362	249	298
1363	249	418
1364	249	419
1365	249	423
1366	249	440
1367	250	175
1368	250	177
1369	250	183
1370	250	251
1371	250	254
1372	250	259
1373	250	262
1374	250	266
1375	250	280
1376	250	287
1377	250	418
1378	250	421
1379	250	422
1380	250	436
1381	251	176
1382	251	189
1383	251	250
1384	251	256
1385	251	261
1386	251	262
1387	251	274
1388	251	275
1389	251	296
1390	251	338
1391	251	418
1392	251	422
1393	251	429
1394	251	444
1395	252	175
1396	252	178
1397	252	181
1398	252	258
1399	252	267
1400	252	268
1401	252	282
1402	252	284
1403	252	292
1404	252	320
1405	252	419
1406	252	421
1407	252	451
1408	253	178
1409	253	180
1410	253	188
1411	253	249
1412	253	257
1413	253	265
1414	253	269
1415	253	279
1416	253	294
1417	253	331
1418	253	419
1419	253	420
1420	253	425
1421	253	454
1422	254	178
1423	254	179
1424	254	186
1425	254	250
1426	254	259
1427	254	261
1428	254	278
1429	254	308
1430	254	313
1431	254	420
1432	254	421
1433	254	426
1434	254	452
1435	255	177
1436	255	187
1437	255	249
1438	255	263
1439	255	264
1440	255	265
1441	255	276
1442	255	277
1443	255	288
1444	255	322
1445	255	418
1446	255	423
1447	255	427
1448	255	458
1449	256	176
1450	256	189
1451	256	251
1452	256	281
1453	256	283
1454	256	304
1455	256	311
1456	256	343
1457	256	358
1458	256	423
1459	256	431
1460	256	462
1461	257	181
1462	257	199
1463	257	249
1464	257	253
1465	257	277
1466	257	285
1467	257	332
1468	257	347
1469	257	419
1470	257	428
1471	257	443
1472	257	466
1473	258	177
1474	258	179
1475	258	190
1476	258	252
1477	258	270
1478	258	284
1479	258	295
1480	258	302
1481	258	315
1482	258	362
1483	258	421
1484	258	427
1485	258	434
1486	258	481
1487	259	181
1488	259	190
1489	259	250
1490	259	254
1491	259	275
1492	259	305
1493	259	310
1494	259	323
1495	259	366
1496	259	421
1497	259	428
1498	259	430
1499	259	476
1500	260	201
1501	260	249
1502	260	273
1503	260	276
1504	260	279
1505	260	285
1506	260	291
1507	260	298
1508	260	424
1509	260	435
1510	260	439
1511	260	440
1512	261	180
1513	261	184
1514	261	196
1515	261	251
1516	261	254
1517	261	275
1518	261	283
1519	261	307
1520	261	368
1521	261	420
1522	261	426
1523	261	429
1524	261	484
1525	262	182
1526	262	187
1527	262	197
1528	262	250
1529	262	251
1530	262	281
1531	262	299
1532	262	305
1533	262	341
1534	262	373
1535	262	418
1536	262	422
1537	262	441
1538	262	465
1539	263	183
1540	263	189
1541	263	197
1542	263	249
1543	263	255
1544	263	269
1545	263	272
1546	263	291
1547	263	339
1548	263	357
1549	263	418
1550	263	423
1551	263	432
1552	263	467
1553	264	177
1554	264	187
1555	264	255
1556	264	271
1557	264	272
1558	264	293
1559	264	301
1560	264	317
1561	264	350
1562	264	422
1563	264	434
1564	264	463
1565	265	179
1566	265	184
1567	265	193
1568	265	253
1569	265	255
1570	265	269
1571	265	271
1572	265	277
1573	265	303
1574	265	335
1575	265	371
1576	265	420
1577	265	425
1578	265	427
1579	265	460
1580	266	185
1581	266	191
1582	266	250
1583	266	274
1584	266	278
1585	266	280
1586	266	287
1587	266	299
1588	266	310
1589	266	424
1590	266	436
1591	266	437
1592	266	438
1593	267	176
1594	267	180
1595	267	252
1596	267	268
1597	267	270
1598	267	289
1599	267	290
1600	267	377
1601	267	419
1602	267	429
1603	267	431
1604	267	475
1605	268	182
1606	268	188
1607	268	199
1608	268	252
1609	268	267
1610	268	302
1611	268	321
1612	268	330
1613	268	364
1614	268	393
1615	268	419
1616	268	441
1617	268	445
1618	268	494
1619	269	186
1620	269	196
1621	269	203
1622	269	253
1623	269	263
1624	269	265
1625	269	297
1626	269	333
1627	269	380
1628	269	420
1629	269	425
1630	269	432
1631	269	491
1632	270	184
1633	270	198
1634	270	258
1635	270	267
1636	270	289
1637	270	302
1638	270	325
1639	270	354
1640	270	391
1641	270	427
1642	270	429
1643	270	431
1644	270	434
1645	270	496
1646	271	179
1647	271	184
1648	271	193
1649	271	264
1650	271	265
1651	271	297
1652	271	301
1653	271	329
1654	271	369
1655	271	386
1656	271	426
1657	271	434
1658	271	485
1659	272	183
1660	272	189
1661	272	197
1662	272	263
1663	272	264
1664	272	297
1665	272	318
1666	272	328
1667	272	348
1668	272	379
1669	272	422
1670	272	449
1671	272	490
1672	273	194
1673	273	215
1674	273	249
1675	273	260
1676	273	288
1677	273	294
1678	273	298
1679	273	332
1680	273	339
1681	273	440
1682	273	442
1683	273	448
1684	273	453
1685	274	209
1686	274	251
1687	274	266
1688	274	296
1689	274	299
1690	274	307
1691	274	311
1692	274	312
1693	274	338
1694	274	424
1695	274	438
1696	274	444
1697	274	450
1698	275	198
1699	275	204
1700	275	251
1701	275	259
1702	275	261
1703	275	304
1704	275	305
1705	275	312
1706	275	372
1707	275	397
1708	275	428
1709	275	429
1710	275	430
1711	275	493
1712	276	185
1713	276	255
1714	276	260
1715	276	288
1716	276	291
1717	276	293
1718	276	303
1719	276	319
1720	276	322
1721	276	424
1722	276	435
1723	276	456
1724	276	458
1725	277	190
1726	277	198
1727	277	214
1728	277	255
1729	277	257
1730	277	265
1731	277	301
1732	277	319
1733	277	349
1734	277	384
1735	277	427
1736	277	428
1737	277	443
1738	277	498
1739	278	200
1740	278	254
1741	278	266
1742	278	307
1743	278	308
1744	278	310
1745	278	313
1746	278	433
1747	278	437
1748	278	452
1749	279	192
1750	279	207
1751	279	253
1752	279	260
1753	279	285
1754	279	294
1755	279	303
1756	279	331
1757	279	333
1758	279	433
1759	279	439
1760	279	454
1761	280	206
1762	280	250
1763	280	266
1764	280	287
1765	280	296
1766	280	308
1767	280	323
1768	280	341
1769	280	436
1770	280	442
1771	280	446
1772	280	447
1773	281	182
1774	281	187
1775	281	197
1776	281	256
1777	281	262
1778	281	286
1779	281	316
1780	281	337
1781	281	363
1782	281	378
1783	281	423
1784	281	445
1785	281	486
1786	282	252
1787	282	290
1788	282	292
1789	282	295
1790	282	320
1791	282	327
1792	282	330
1793	282	437
1794	282	439
1795	282	451
1796	283	180
1797	283	184
1798	283	196
1799	283	256
1800	283	261
1801	283	286
1802	283	304
1803	283	336
1804	283	370
1805	283	425
1806	283	431
1807	283	492
1808	284	183
1809	284	186
1810	284	252
1811	284	258
1812	284	289
1813	284	321
1814	284	327
1815	284	352
1816	284	400
1817	284	421
1818	284	432
1819	284	449
1820	284	504
1821	285	216
1822	285	220
1823	285	257
1824	285	260
